2019-05-18T03:05:51.370444: step 1, loss 1.1063, acc 0.5
2019-05-18T03:05:51.385443: step 2, loss 0.745976, acc 0.765625
2019-05-18T03:05:51.393443: step 3, loss 0.431554, acc 0.984375
2019-05-18T03:05:51.400447: step 4, loss 0.376723, acc 1
2019-05-18T03:05:51.408442: step 5, loss 0.34534, acc 1
2019-05-18T03:05:51.416445: step 6, loss 0.316109, acc 1
2019-05-18T03:05:51.423442: step 7, loss 0.289102, acc 1
2019-05-18T03:05:51.431432: step 8, loss 0.261864, acc 1
2019-05-18T03:05:51.439439: step 9, loss 0.261947, acc 1
2019-05-18T03:05:51.446431: step 10, loss 0.245503, acc 1
2019-05-18T03:05:51.454432: step 11, loss 0.258391, acc 1
2019-05-18T03:05:51.462431: step 12, loss 0.25061, acc 1
2019-05-18T03:05:51.469430: step 13, loss 0.239123, acc 1
2019-05-18T03:05:51.476431: step 14, loss 0.225002, acc 1
2019-05-18T03:05:51.484430: step 15, loss 0.227685, acc 1
2019-05-18T03:05:51.491430: step 16, loss 0.2206, acc 1
2019-05-18T03:05:51.499430: step 17, loss 0.240261, acc 1
2019-05-18T03:05:51.506429: step 18, loss 0.248935, acc 1
2019-05-18T03:05:51.513429: step 19, loss 0.232737, acc 1
2019-05-18T03:05:51.520429: step 20, loss 0.23026, acc 1
2019-05-18T03:05:51.527429: step 21, loss 0.240637, acc 1
2019-05-18T03:05:51.535429: step 22, loss 0.234646, acc 1
2019-05-18T03:05:51.542428: step 23, loss 0.229476, acc 1
2019-05-18T03:05:51.549428: step 24, loss 0.217742, acc 1
2019-05-18T03:05:51.556428: step 25, loss 0.226103, acc 1
2019-05-18T03:05:51.563428: step 26, loss 0.214998, acc 1
2019-05-18T03:05:51.570427: step 27, loss 0.244149, acc 1
2019-05-18T03:05:51.581428: step 28, loss 0.221405, acc 1
2019-05-18T03:05:51.591429: step 29, loss 0.211961, acc 1
2019-05-18T03:05:51.601426: step 30, loss 0.209885, acc 1
2019-05-18T03:05:51.614426: step 31, loss 0.219758, acc 1
2019-05-18T03:05:51.628426: step 32, loss 0.217631, acc 1
2019-05-18T03:05:51.639426: step 33, loss 0.214452, acc 1
2019-05-18T03:05:51.653427: step 34, loss 0.217307, acc 1
2019-05-18T03:05:51.666426: step 35, loss 0.205562, acc 1
2019-05-18T03:05:51.676424: step 36, loss 0.217528, acc 1
2019-05-18T03:05:51.686425: step 37, loss 0.214235, acc 1
2019-05-18T03:05:51.694424: step 38, loss 0.221726, acc 1
2019-05-18T03:05:51.702424: step 39, loss 0.201738, acc 1
2019-05-18T03:05:51.710424: step 40, loss 0.201474, acc 1
2019-05-18T03:05:51.718423: step 41, loss 0.19759, acc 1
2019-05-18T03:05:51.725423: step 42, loss 0.215714, acc 1
2019-05-18T03:05:51.733423: step 43, loss 0.200507, acc 1
2019-05-18T03:05:51.741423: step 44, loss 0.196502, acc 1
2019-05-18T03:05:51.748422: step 45, loss 0.201524, acc 1
2019-05-18T03:05:51.756422: step 46, loss 0.198403, acc 1
2019-05-18T03:05:51.764422: step 47, loss 0.194123, acc 1
2019-05-18T03:05:51.772422: step 48, loss 0.211268, acc 1
2019-05-18T03:05:51.780422: step 49, loss 0.198573, acc 1
